Lookup Type,Code,Name,Sort Order,Value*
"DetoxificationCareResponseTiming","NoneOrWithdrawalSymptomsDoNotRequireMonitoring","None or withdrawal symptoms do not require monitoring","1","0"
"DetoxificationCareResponseTiming","Within2Hours","Within 2 hours","2","1"
"DetoxificationCareResponseTiming","Within4To8Hours","4-8 hours","3","2"
"DetoxificationCareResponseTiming","Within8To24Hours","8-24 hours","4","3"
"DetoxificationCareResponseTiming","MoreThan24Hours","More than 24 hours","5","4"
"WouldRecommendProgramToFriend","NoAnswer","No answer","1","0"
"WouldRecommendProgramToFriend","DefinitelyNot","Definitely not","2","1"
"WouldRecommendProgramToFriend","ProbablyNot","Probably not","3","2"
"WouldRecommendProgramToFriend","PossiblyNot","Possibly not","4","3"
"WouldRecommendProgramToFriend","PossiblyYes","Possibly yes","5","4"
"WouldRecommendProgramToFriend","ProbablyYes","Probably yes","6","5"
"WouldRecommendProgramToFriend","DefinitelyYes","Definitely yes","7","6"
"ExperiencedNauseaOrVomitedRecently","NoNauseaAndNoVomiting","No nausea and no vomiting","1","0"
"ExperiencedNauseaOrVomitedRecently","MildNauseaWithNoVomiting","Mild nausea with no vomiting","2","1"
"ExperiencedNauseaOrVomitedRecently","IntermittentNauseaWithDryHeaves","Intermittent nausea with dry heaves","3","4"
"ExperiencedNauseaOrVomitedRecently","ConstantNauseaFrequentDryHeavesAndVomiting","Constant nausea, frequent dry heaves and vomiting","4","7"
"HeadAcheOrFullnessSeverity","NotPresent","Not present","1","0"
"HeadAcheOrFullnessSeverity","VeryMild","Very mild","2","1"
"HeadAcheOrFullnessSeverity","Mild","Mild","3","2"
"HeadAcheOrFullnessSeverity","Moderate","Moderate","4","3"
"HeadAcheOrFullnessSeverity","ModeratelySevere","Moderately severe","5","4"
"HeadAcheOrFullnessSeverity","Severe","Severe","6","5"
"HeadAcheOrFullnessSeverity","VerySevere","Very severe","7","6"
"HeadAcheOrFullnessSeverity","ExtremelySevere","Extremely severe","8","7"
"GooseFleshObservation","NoGooseFleshIsVisible","No goose flesh is visible","1","0"
"GooseFleshObservation","OccasionalGooseFleshButNotElicitedByTouchAndNotProminent","Occasional goose flesh but not elicited by touch and not prominent","2","2"
"GooseFleshObservation","ProminentGooseFleshInWavesAndElicitedByTouch","Prominent goose flesh, in waves and elicited by touch","3","4"
"GooseFleshObservation","ConstantGooseFleshOverChestAndArms","Constant goose flesh over chest and arms","4","6"
"LacriminationObservation","NoLacrimation","No lacrimation","1","0"
"LacriminationObservation","TearsAtCornersOfEyes","Eyes watering, tears at corners of eyes","2","1"
"LacriminationObservation","ProfuseTearsFromEyesOverFace","Profuse tears from eyes over face","3","2"
"AbdominalPainStatus","NoAbdominalComplaintsNormalBowelSounds","No abdominal complaints, normal bowel sounds","1","0"
"AbdominalPainStatus","ReportsWavesOfAbdominalCrampyPainActiveBowelSounds","Reports waves of abdominal crampy pain, active bowel sounds","2","1"
"AbdominalPainStatus","ReportsCrampsPainsDiarrheaActiveBowelSounds","Reports crampy abdominal pains, diarrheal movements, active bowel sounds","3","2"
"BodyTemperatureStatus","NoReportOfTemperatureChanges","No report of temperature changes","1","0"
"BodyTemperatureStatus","ReportsFeelingColdHandsColdAndClammyToTouch","Reports feeling cold, hands cold and clammy to touch","2","1"
"BodyTemperatureStatus","UncontrollableShivering","Uncontrollable shivering","3","2"
"AlcoholRouteOfIntake","Oral","PO","1","1"
"AlcoholRouteOfIntake","IvInjection","IV injection","2","5"
"ConcernsAboutPursuingTreatment","NoHasBeenFullyParticipatingInAllRecommendedTreatments","No; has been fully participating in all recommended treatments","1","0"
"ConcernsAboutPursuingTreatment","NoOpenToFullyParticipatingInAnyRecommendedTreatments","No; open to fully participating in any recommended treatments","2","1"
"ConcernsAboutPursuingTreatment","PassiveOrSomeHesitations","Passive or some hesitations","3","2"
"ConcernsAboutPursuingTreatment","ResistsImportantComponents","Resists important components","4","3"
"ConcernsAboutPursuingTreatment","RejectsOrObstructsPlanWithManyContingencies","Rejecting or obstructs plan with many contingencies","5","4"
"HelpfulnessOfTreatment","UnderstandsRoleOfTreatmentVersusNeedForPersonalEfforts","Has detailed and comprehensive sense of the role of treatment versus need for personal efforts","1","0"
"HelpfulnessOfTreatment","ThoughtfulAndCommittedToRecoveryEfforts","Thoughtful and committed to recovery efforts","2","1"
"HelpfulnessOfTreatment","LimitedSenseOfPersonalResponsibilityForRecovery","Limited sense of personal responsibility for recovery","3","2"
"HelpfulnessOfTreatment","OverconfidentOrTooReliantOnProgramRatherThanSelf","Over-confident or too reliant on program rather than self","4","3"
"HelpfulnessOfTreatment","HoldsOthersOrProgramAsResponsibleForPatientsSuccess","Holds other or program as responsible for patient's success","5","4"
"IncreaseInAddictionSymptoms","No","No","1","0"
"IncreaseInAddictionSymptoms","IncreasedThoughtsOrCraving","Increased thoughts or craving","2","1"
"IncreaseInAddictionSymptoms","MoreRiskTakingBehaviorsButNotUse","More risk taking behaviors but not use","3","2"
"IncreaseInAddictionSymptoms","RelapsedButToLessUseThanWhenUsingBefore","Relapsed; but to less use than when using before","4","3"
"IncreaseInAddictionSymptoms","IncreasedUseOrMoreAcuteRouteOfAdministrationThanBefore","Increased use or more acute route of administration than before","5","4"
"SubstanceCategory","None","None","0","0"
"SubstanceCategory","Alcohol","Alcohol","2","1"
"SubstanceCategory","Heroin","Heroin","5","2"
"SubstanceCategory","Methadone","Methadone or buprenorphine, Suboxone®, or Subutex®, even if from a program or a doctor","6","3"
"SubstanceCategory","OtherOpiate","Opioid or narcotic medicines, other than heroin or methadone, even if by prescription","4","4"
"SubstanceCategory","Barbiturates","Barbiturates","9","5"
"SubstanceCategory","OtherSedatives","Sleeping pills, anti-anxiety pills, sedatives or hypnotics, even if by prescription","10","6"
"SubstanceCategory","Cocaine","Cocaine","7","7"
"SubstanceCategory","Stimulants","Stimulants Other Than Cocaine","8","8"
"SubstanceCategory","Cannabis","Marijuana or Cannabis","3","9"
"SubstanceCategory","Hallucinogens","Any Hallucinogens, Including PCP","12","10"
"SubstanceCategory","SolventInhalants","Solvents or Inhalants","11","11"
"SubstanceCategory","MultiplePerDay","More Than One Drug At a Time","14","12"
"SubstanceCategory","Nicotine","Tobacco or Other Nicotine-containing Products","1","13"
"SubstanceCategory","OtherSubstance","Any Other Drug of Abuse","13","14"
"MuscleAcheStatus","NoMuscleAchingReportedArmAndNeckMusclesSoftAtRest","No muscle aching reported, arm and neck muscles soft at rest","1","0"
"MuscleAcheStatus","MildMusclePains","Mild muscle pains","2","1"
"MuscleAcheStatus","SeverePainsAndConstantContractionOfTheMusclesOfLegsArmsAndNeck","Severe pains and constant contraction of the muscles of legs, arms and neck","3","2"
"NasalCongestionObservation","NoNasalCongestionOrSniffling","No nasal congestion or sniffling","1","0"
"NasalCongestionObservation","FrequentSniffling","Frequent sniffling","2","1"
"NasalCongestionObservation","ConstantSnifflingWithWateryDischarge","Constant sniffling with watery discharge","3","2"
"NervousnessObservation","NoAnxiety","No anxiety, at ease","1","0"
"NervousnessObservation","MildAnxiety","Mildly anxious","2","1"
"NervousnessObservation","ModerateAnxiety","Moderately anxious, or guarded, so anxiety is inferred","3","4"
